"ID","sex","age","armadillo","tode.plant","ayahuasca","tapir","azucarhuayo.tree","jaguar","gilded.catfish","spider.monkey","harpy.eagle","giant.otter","chimicua.tree","cedro.tree","boquichico.fish","shinteneki.tree","white.collard.peccary","kapok.tree","shapaja.palm.tree","hummingbird","screaming.piha.bird","cortapelo.bee"
1,1,3,11,4,3,11,11,15,11,2,1,15,15,4,4,4,4,4,4,18,18,18
2,1,2,6,6,6,2,6,1,6,2,6,2,6,6,6,6,2,6,6,19,6,19
3,1,2,9,2,2,9,8,14,4,1,14,14,7,14,4,9,4,14,9,14,14,9
4,0,2,6,2,2,6,13,20,6,6,17,17,13,13,6,2,6,1,2,13,6,17
5,1,3,14,1,1,12,10,14,1,1,17,14,1,10,1,1,12,18,1,20,1,18
6,1,2,7,16,6,7,18,13,3,2,9,14,17,11,3,11,3,1,10,19,19,15
7,1,2,15,10,4,7,17,1,9,2,11,11,17,14,2,4,7,13,15,6,19,20
