ID,sex,age,armadillo,tode plant,ayahuasca,tapir,azucarhuayo tree,jaguar,gilded catfish,spider monkey,harpy eagle,giant otter,chimicua tree,cedro tree,boquichico fish,shinteneki tree,white-collard peccary,kapok tree,shapaja palm tree,hummingbird,screaming piha bird,cortapelo bee
1,1,3,17,15,6,17,13,7,7,1,7,1,7,1,7,1,16,1,7,19,19,14
2,1,2,11,11,11,11,1,1,1,1,11,1,1,1,1,1,1,11,11,11,11,11
3,1,2,9,17,17,3,9,3,9,9,3,3,9,3,9,1,9,1,3,17,17,9
4,0,2,7,13,1,7,14,3,7,7,3,3,14,14,17,3,7,1,18,7,18,18
5,1,3,8,17,17,8,4,4,1,8,20,1,8,4,1,4,8,8,8,8,17,8
6,1,2,15,1,1,15,1,8,15,8,8,8,1,1,15,8,15,1,1,8,15,8
7,1,2,6,13,4,6,13,4,9,2,16,17,18,19,2,1,11,8,13,9,20,11
